"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 08 00:59:16 UTC 2026","Thu Jan 08 00:59:16 UTC 2026","342","REST API Test Suite","Object API GET Tests","com.api.automation.tests.endpoints.restfulapi.ObjectGetTests","com.api.automation.tests.endpoints.restfulapi.ObjectGetTests","testObjectContentType","Verify content type is application/json",""
"passed","Thu Jan 08 00:59:23 UTC 2026","Thu Jan 08 00:59:23 UTC 2026","441","REST API Test Suite","Object API GET All Objects Tests","com.api.automation.tests.endpoints.restfulapi.ObjectGetAllTests","com.api.automation.tests.endpoints.restfulapi.ObjectGetAllTests","testGetAllObjectsWithNullData","Verify objects with null data field",""
"passed","Thu Jan 08 00:59:13 UTC 2026","Thu Jan 08 00:59:13 UTC 2026","28","REST API Test Suite","Post API Tests","com.api.automation.tests.jsonplaceholder.PostTests","com.api.automation.tests.jsonplaceholder.PostTests","testGetPostAsObject","Verify getting post as object",""
"passed","Thu Jan 08 00:59:13 UTC 2026","Thu Jan 08 00:59:13 UTC 2026","47","REST API Test Suite","User API Tests","com.api.automation.tests.jsonplaceholder.UserTests","com.api.automation.tests.jsonplaceholder.UserTests","testGetAllUsersAsArray","Verify getting all users as array",""
"passed","Thu Jan 08 00:59:13 UTC 2026","Thu Jan 08 00:59:13 UTC 2026","74","REST API Test Suite","Post API Tests","com.api.automation.tests.jsonplaceholder.PostTests","com.api.automation.tests.jsonplaceholder.PostTests","testGetPostById","Verify getting a specific post by ID",""
"passed","Thu Jan 08 00:59:16 UTC 2026","Thu Jan 08 00:59:16 UTC 2026","361","REST API Test Suite","Object API GET Tests","com.api.automation.tests.endpoints.restfulapi.ObjectGetTests","com.api.automation.tests.endpoints.restfulapi.ObjectGetTests","testGetAllObjects","Verify getting all objects",""
"passed","Thu Jan 08 00:59:12 UTC 2026","Thu Jan 08 00:59:12 UTC 2026","46","REST API Test Suite","User API Tests","com.api.automation.tests.jsonplaceholder.UserTests","com.api.automation.tests.jsonplaceholder.UserTests","testGetUserAsObject","Verify getting user as object",""
"passed","Thu Jan 08 00:59:28 UTC 2026","Thu Jan 08 00:59:28 UTC 2026","759","REST API Test Suite","Object API POST Tests","com.api.automation.tests.endpoints.restfulapi.ObjectPostTests","com.api.automation.tests.endpoints.restfulapi.ObjectPostTests","testCreateMultipleObjects","Verify creating multiple objects with different data",""
"passed","Thu Dec 04 15:53:50 UTC 2025","Thu Dec 04 15:53:50 UTC 2025","414","Default Suite","TestNGTest-f62fdee1-0250-4f2e-bb86-8ed218753137","com.api.automation.tests.ObjectTests","com.api.automation.tests.ObjectTests","testObjectResponseStructure","Verify response contains all required fields",""
"passed","Thu Jan 08 00:59:16 UTC 2026","Thu Jan 08 00:59:17 UTC 2026","365","REST API Test Suite","Object API GET by IDs Tests","com.api.automation.tests.endpoints.restfulapi.ObjectGetByIdsTests","com.api.automation.tests.endpoints.restfulapi.ObjectGetByIdsTests","testGetObjectsByIds","Verify getting multiple objects by IDs - basic retrieval",""
"passed","Thu Jan 08 00:59:13 UTC 2026","Thu Jan 08 00:59:13 UTC 2026","77","REST API Test Suite","Post API Tests","com.api.automation.tests.jsonplaceholder.PostTests","com.api.automation.tests.jsonplaceholder.PostTests","testGetPostById","Verify getting a specific post by ID",""
"failed","Thu Jan 08 00:59:12 UTC 2026","Thu Jan 08 00:59:12 UTC 2026","68","REST API Test Suite","User API Tests","com.api.automation.tests.jsonplaceholder.UserTests","com.api.automation.tests.jsonplaceholder.UserTests","testPatchUser","Verify partially updating a user",""
"passed","Thu Jan 08 00:59:20 UTC 2026","Thu Jan 08 00:59:20 UTC 2026","416","REST API Test Suite","Object API GET by IDs Tests","com.api.automation.tests.endpoints.restfulapi.ObjectGetByIdsTests","com.api.automation.tests.endpoints.restfulapi.ObjectGetByIdsTests","testGetObjectsByIdsDuplicates","Verify handling of duplicate IDs in query",""
"passed","Thu Jan 08 00:59:14 UTC 2026","Thu Jan 08 00:59:14 UTC 2026","44","REST API Test Suite","Post API Tests","com.api.automation.tests.jsonplaceholder.PostTests","com.api.automation.tests.jsonplaceholder.PostTests","testGetAllPostsAsArray","Verify getting all posts as array",""
"passed","Thu Jan 08 00:59:13 UTC 2026","Thu Jan 08 00:59:13 UTC 2026","56","REST API Test Suite","Post API Tests","com.api.automation.tests.jsonplaceholder.PostTests","com.api.automation.tests.jsonplaceholder.PostTests","testGetPostsByUserId","Verify getting posts by user ID",""
"failed","Thu Jan 08 00:59:42 UTC 2026","Thu Jan 08 00:59:43 UTC 2026","336","REST API Test Suite","Object API DELETE Tests","com.api.automation.tests.endpoints.restfulapi.ObjectDeleteTests","com.api.automation.tests.endpoints.restfulapi.ObjectDeleteTests","testDeleteObjectResponseHasOnlyMessageKey","Verify delete response has only one JSON key (message)",""
"passed","Wed Jan 07 19:16:06 UTC 2026","Wed Jan 07 19:16:06 UTC 2026","0","Surefire suite","Surefire test","com.api.automation.dataproviders.DataProvidersIntegrationTest","com.api.automation.dataproviders.DataProvidersIntegrationTest","testContextRetrieveData","testContextRetrieveData",""
"failed","Thu Jan 08 00:59:30 UTC 2026","Thu Jan 08 00:59:30 UTC 2026","376","REST API Test Suite","Object API PUT Tests","com.api.automation.tests.endpoints.restfulapi.ObjectPutTests","com.api.automation.tests.endpoints.restfulapi.ObjectPutTests","testUpdateObjectWithAdditionalFields","Verify PUT update with additional fields",""
"passed","Thu Jan 08 00:59:14 UTC 2026","Thu Jan 08 00:59:14 UTC 2026","65","REST API Test Suite","Post API Tests","com.api.automation.tests.jsonplaceholder.PostTests","com.api.automation.tests.jsonplaceholder.PostTests","testUpdatePost","Verify updating a post",""
"passed","Wed Jan 07 19:16:06 UTC 2026","Wed Jan 07 19:16:06 UTC 2026","1","Surefire suite","Surefire test","com.api.automation.dataproviders.DataProvidersIntegrationTest","com.api.automation.dataproviders.DataProvidersIntegrationTest","testWithEnvironmentVariables","testWithEnvironmentVariables",""
"failed","Thu Jan 08 00:59:35 UTC 2026","Thu Jan 08 00:59:36 UTC 2026","696","REST API Test Suite","Object API PATCH Tests","com.api.automation.tests.endpoints.restfulapi.ObjectPatchTests","com.api.automation.tests.endpoints.restfulapi.ObjectPatchTests","testPatchMultipleObjectsSequentially","Verify patching multiple objects sequentially",""
